year,month,date,country,country_code,operator,operator_rank,market_share_pct,total_subscribers,new_subscribers,churned_subscribers,net_adds,churn_rate_pct,arpu_usd,revenue_musd,data_usage_gb,coverage_4g_pct,mobile_money_penetration_pct,population,penetration_rate_pct
2023,2,2023-02-01,Senegal,SN,Expresso,3,8.8,202277,3019,8791,-5772,4.324,2.67,0.54,2.98,59.0,66.0,17681600,13.0
2023,3,2023-03-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,19787,30153,-10366,2.341,5.04,6.431,2.76,59.0,66.0,17681600,13.0
2023,3,2023-03-01,Senegal,SN,Free Sénégal,2,35.7,820603,12023,30404,-18381,3.714,3.3,2.711,2.81,59.0,66.0,17681600,13.0
2023,3,2023-03-01,Senegal,SN,Expresso,3,8.8,202277,2864,9095,-6231,4.466,2.64,0.534,2.73,59.0,66.0,17681600,13.0
2023,4,2023-04-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,19556,29698,-10142,2.353,5.04,6.426,3.21,59.0,66.0,17681600,13.0
2023,4,2023-04-01,Senegal,SN,Free Sénégal,2,35.7,820603,12636,30040,-17404,3.659,3.36,2.758,3.43,59.0,66.0,17681600,13.0
2023,4,2023-04-01,Senegal,SN,Expresso,3,8.8,202277,2906,8901,-5995,4.393,2.73,0.552,3.23,59.0,66.0,17681600,13.0
2023,5,2023-05-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,19730,29612,-9882,2.31,5.23,6.675,3.2,59.0,66.0,17681600,13.0
2023,5,2023-05-01,Senegal,SN,Free Sénégal,2,35.7,820603,12553,29949,-17396,3.674,3.53,2.9,3.47,59.0,66.0,17681600,13.0
2023,5,2023-05-01,Senegal,SN,Expresso,3,8.8,202277,3225,8903,-5678,4.31,2.84,0.575,3.14,59.0,66.0,17681600,13.0
2023,6,2023-06-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,20657,29345,-8688,2.317,5.23,6.667,3.84,59.0,66.0,17681600,13.0
2023,6,2023-06-01,Senegal,SN,Free Sénégal,2,35.7,820603,12778,28995,-16217,3.652,3.41,2.797,3.65,59.0,66.0,17681600,13.0
2023,6,2023-06-01,Senegal,SN,Expresso,3,8.8,202277,3310,8594,-5284,4.311,2.79,0.565,3.72,59.0,66.0,17681600,13.0
2023,7,2023-07-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,18945,30477,-11532,2.362,5.17,6.59,3.8,59.0,66.0,17681600,13.0
2023,7,2023-07-01,Senegal,SN,Free Sénégal,2,35.7,820603,12811,30204,-17393,3.703,3.45,2.829,3.92,59.0,66.0,17681600,13.0
2023,7,2023-07-01,Senegal,SN,Expresso,3,8.8,202277,3201,8979,-5778,4.37,2.75,0.555,4.43,59.0,66.0,17681600,13.0
2023,8,2023-08-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,19429,29290,-9861,2.283,5.11,6.523,4.17,59.0,66.0,17681600,13.0
2023,8,2023-08-01,Senegal,SN,Free Sénégal,2,35.7,820603,12369,30006,-17637,3.678,3.44,2.821,4.38,59.0,66.0,17681600,13.0
2023,8,2023-08-01,Senegal,SN,Expresso,3,8.8,202277,3178,8795,-5617,4.335,2.79,0.565,4.44,59.0,66.0,17681600,13.0
2023,9,2023-09-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,18814,29672,-10858,2.309,5.04,6.427,4.6,59.0,66.0,17681600,13.0
2023,9,2023-09-01,Senegal,SN,Free Sénégal,2,35.7,820603,12780,30103,-17323,3.69,3.36,2.753,4.55,59.0,66.0,17681600,13.0
2023,9,2023-09-01,Senegal,SN,Expresso,3,8.8,202277,3134,8882,-5748,4.355,2.74,0.554,4.9,59.0,66.0,17681600,13.0
2023,10,2023-10-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,19136,29612,-10476,2.328,4.92,6.271,4.87,59.0,66.0,17681600,13.0
2023,10,2023-10-01,Senegal,SN,Free Sénégal,2,35.7,820603,12278,30029,-17751,3.69,3.36,2.76,4.65,59.0,66.0,17681600,13.0
2023,10,2023-10-01,Senegal,SN,Expresso,3,8.8,202277,3076,8791,-5715,4.312,2.67,0.541,5.05,59.0,66.0,17681600,13.0
2023,11,2023-11-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,17975,29717,-11742,2.328,4.77,6.085,5.45,59.0,66.0,17681600,13.0
2023,11,2023-11-01,Senegal,SN,Free Sénégal,2,35.7,820603,11588,30105,-18517,3.681,3.23,2.653,5.05,59.0,66.0,17681600,13.0
2023,11,2023-11-01,Senegal,SN,Expresso,3,8.8,202277,2950,8778,-5828,4.329,2.59,0.524,5.08,59.0,66.0,17681600,13.0
2023,12,2023-12-01,Senegal,SN,Orange Sénégal,1,55.5,1275727,17572,29348,-11776,2.333,4.74,6.048,5.44,59.0,66.0,17681600,13.0
2023,12,2023-12-01,Senegal,SN,Free Sénégal,2,35.7,820603,12339,30601,-18262,3.697,3.19,2.615,5.49,59.0,66.0,17681600,13.0
2023,12,2023-12-01,Senegal,SN,Expresso,3,8.8,202277,2911,8715,-5804,4.321,2.61,0.528,5.27,59.0,66.0,17681600,13.0
2024,1,2024-01-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,23434,35047,-11613,2.268,5.13,7.934,2.69,67.0,72.0,18176684,15.2
2024,1,2024-01-01,Senegal,SN,Free Sénégal,2,35.4,978051,14257,34800,-20543,3.558,3.4,3.328,2.5,67.0,72.0,18176684,15.2
2024,1,2024-01-01,Senegal,SN,Expresso,3,8.6,237605,3492,10199,-6707,4.231,2.8,0.665,2.88,67.0,72.0,18176684,15.2
2024,2,2024-02-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,23339,34700,-11361,2.239,5.34,8.269,2.78,67.0,72.0,18176684,15.2
2024,2,2024-02-01,Senegal,SN,Free Sénégal,2,35.4,978051,14118,33906,-19788,3.542,3.42,3.347,2.79,67.0,72.0,18176684,15.2
2024,2,2024-02-01,Senegal,SN,Expresso,3,8.6,237605,3528,10254,-6726,4.236,2.84,0.675,2.82,67.0,72.0,18176684,15.2
2024,3,2024-03-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,23550,34134,-10584,2.236,5.43,8.394,3.39,67.0,72.0,18176684,15.2
2024,3,2024-03-01,Senegal,SN,Free Sénégal,2,35.4,978051,13916,35242,-21326,3.555,3.51,3.437,3.4,67.0,72.0,18176684,15.2
2024,3,2024-03-01,Senegal,SN,Expresso,3,8.6,237605,3499,9890,-6391,4.163,2.86,0.68,3.13,67.0,72.0,18176684,15.2
2024,4,2024-04-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,22913,35072,-12159,2.27,5.4,8.348,3.59,67.0,72.0,18176684,15.2
2024,4,2024-04-01,Senegal,SN,Free Sénégal,2,35.4,978051,14459,34644,-20185,3.597,3.66,3.579,3.56,67.0,72.0,18176684,15.2
2024,4,2024-04-01,Senegal,SN,Expresso,3,8.6,237605,3804,9987,-6183,4.198,2.97,0.705,3.51,67.0,72.0,18176684,15.2
2024,5,2024-05-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,25276,35535,-10259,2.302,5.54,8.575,3.92,67.0,72.0,18176684,15.2
2024,5,2024-05-01,Senegal,SN,Free Sénégal,2,35.4,978051,14739,35657,-20918,3.621,3.7,3.619,3.47,67.0,72.0,18176684,15.2
2024,5,2024-05-01,Senegal,SN,Expresso,3,8.6,237605,3461,9905,-6444,4.18,2.99,0.711,4.09,67.0,72.0,18176684,15.2
2024,6,2024-06-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,25315,34448,-9133,2.258,5.35,8.279,4.09,67.0,72.0,18176684,15.2
2024,6,2024-06-01,Senegal,SN,Free Sénégal,2,35.4,978051,15242,34345,-19103,3.586,3.66,3.576,3.83,67.0,72.0,18176684,15.2
2024,6,2024-06-01,Senegal,SN,Expresso,3,8.6,237605,3747,10022,-6275,4.258,2.95,0.701,3.88,67.0,72.0,18176684,15.2
2024,7,2024-07-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,24699,34539,-9840,2.255,5.5,8.516,4.28,67.0,72.0,18176684,15.2
2024,7,2024-07-01,Senegal,SN,Free Sénégal,2,35.4,978051,15130,34300,-19170,3.544,3.61,3.532,4.14,67.0,72.0,18176684,15.2
2024,7,2024-07-01,Senegal,SN,Expresso,3,8.6,237605,3691,10176,-6485,4.313,2.97,0.705,4.38,67.0,72.0,18176684,15.2
2024,8,2024-08-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,24108,35091,-10983,2.251,5.34,8.266,4.56,67.0,72.0,18176684,15.2
2024,8,2024-08-01,Senegal,SN,Free Sénégal,2,35.4,978051,13930,34311,-20381,3.562,3.66,3.584,5.09,67.0,72.0,18176684,15.2
2024,8,2024-08-01,Senegal,SN,Expresso,3,8.6,237605,3698,10056,-6358,4.219,3.05,0.725,4.96,67.0,72.0,18176684,15.2
2024,9,2024-09-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,22542,34300,-11758,2.253,5.3,8.194,4.81,67.0,72.0,18176684,15.2
2024,9,2024-09-01,Senegal,SN,Free Sénégal,2,35.4,978051,14386,34066,-19680,3.521,3.61,3.53,5.22,67.0,72.0,18176684,15.2
2024,9,2024-09-01,Senegal,SN,Expresso,3,8.6,237605,3722,10057,-6335,4.23,2.82,0.671,5.38,67.0,72.0,18176684,15.2
2024,10,2024-10-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,22036,35026,-12990,2.268,5.11,7.901,4.93,67.0,72.0,18176684,15.2
2024,10,2024-10-01,Senegal,SN,Free Sénégal,2,35.4,978051,15200,34766,-19566,3.605,3.48,3.402,5.13,67.0,72.0,18176684,15.2
2024,10,2024-10-01,Senegal,SN,Expresso,3,8.6,237605,3430,9915,-6485,4.209,2.8,0.666,5.08,67.0,72.0,18176684,15.2
2024,11,2024-11-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,22370,34915,-12545,2.262,5.03,7.779,5.44,67.0,72.0,18176684,15.2
2024,11,2024-11-01,Senegal,SN,Free Sénégal,2,35.4,978051,14375,34855,-20480,3.599,3.4,3.328,5.81,67.0,72.0,18176684,15.2
2024,11,2024-11-01,Senegal,SN,Expresso,3,8.6,237605,3496,9817,-6321,4.159,2.78,0.662,5.39,67.0,72.0,18176684,15.2
2024,12,2024-12-01,Senegal,SN,Orange Sénégal,1,56.0,1547199,21191,34291,-13100,2.215,5.09,7.873,5.63,67.0,72.0,18176684,15.2
2024,12,2024-12-01,Senegal,SN,Free Sénégal,2,35.4,978051,13381,35135,-21754,3.595,3.32,3.245,5.71,67.0,72.0,18176684,15.2
2024,12,2024-12-01,Senegal,SN,Expresso,3,8.6,237605,3333,10016,-6683,4.232,2.79,0.662,5.73,67.0,72.0,18176684,15.2
2025,1,2025-01-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,25255,39968,-14713,2.202,5.44,9.828,2.63,73.0,76.0,18685631,17.1
2025,1,2025-01-01,Senegal,SN,Free Sénégal,2,35.1,1121530,16521,38395,-21874,3.43,3.57,4.006,2.91,73.0,76.0,18685631,17.1
2025,1,2025-01-01,Senegal,SN,Expresso,3,8.4,268400,3868,11128,-7260,4.099,2.9,0.778,3.05,73.0,76.0,18685631,17.1
2025,2,2025-02-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,26149,39095,-12946,2.175,5.44,9.824,3.23,73.0,76.0,18685631,17.1
2025,2,2025-02-01,Senegal,SN,Free Sénégal,2,35.1,1121530,17512,39233,-21721,3.468,3.59,4.025,3.5,73.0,76.0,18685631,17.1
2025,2,2025-02-01,Senegal,SN,Expresso,3,8.4,268400,3704,10835,-7131,4.078,2.85,0.764,3.24,73.0,76.0,18685631,17.1
2025,3,2025-03-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,28441,39564,-11123,2.184,5.5,9.933,3.75,73.0,76.0,18685631,17.1
2025,3,2025-03-01,Senegal,SN,Free Sénégal,2,35.1,1121530,16941,38217,-21276,3.382,3.6,4.036,3.81,73.0,76.0,18685631,17.1
2025,3,2025-03-01,Senegal,SN,Expresso,3,8.4,268400,3975,11097,-7122,4.109,3.09,0.83,3.63,73.0,76.0,18685631,17.1
2025,4,2025-04-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,27240,39189,-11949,2.189,5.7,10.291,3.73,73.0,76.0,18685631,17.1
2025,4,2025-04-01,Senegal,SN,Free Sénégal,2,35.1,1121530,16913,38996,-22083,3.46,3.77,4.231,4.1,73.0,76.0,18685631,17.1
2025,4,2025-04-01,Senegal,SN,Expresso,3,8.4,268400,4073,10827,-6754,4.074,3.03,0.813,3.97,73.0,76.0,18685631,17.1
2025,5,2025-05-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,27242,40071,-12829,2.201,5.83,10.52,4.29,73.0,76.0,18685631,17.1
2025,5,2025-05-01,Senegal,SN,Free Sénégal,2,35.1,1121530,17001,39018,-22017,3.523,3.71,4.156,4.51,73.0,76.0,18685631,17.1
2025,5,2025-05-01,Senegal,SN,Expresso,3,8.4,268400,4158,11093,-6935,4.122,3.04,0.816,4.71,73.0,76.0,18685631,17.1
2025,6,2025-06-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,28255,39765,-11510,2.187,5.78,10.439,4.55,73.0,76.0,18685631,17.1
2025,6,2025-06-01,Senegal,SN,Free Sénégal,2,35.1,1121530,17743,39200,-21457,3.431,3.9,4.379,4.86,73.0,76.0,18685631,17.1
2025,6,2025-06-01,Senegal,SN,Expresso,3,8.4,268400,4062,10921,-6859,4.074,3.11,0.835,4.75,73.0,76.0,18685631,17.1
2025,7,2025-07-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,29303,38699,-9396,2.147,5.67,10.245,4.56,73.0,76.0,18685631,17.1
2025,7,2025-07-01,Senegal,SN,Free Sénégal,2,35.1,1121530,17835,38168,-20333,3.401,3.73,4.188,4.49,73.0,76.0,18685631,17.1
2025,7,2025-07-01,Senegal,SN,Expresso,3,8.4,268400,4374,10925,-6551,4.081,3.02,0.812,4.74,73.0,76.0,18685631,17.1
2025,8,2025-08-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,25386,39299,-13913,2.178,5.61,10.129,5.28,73.0,76.0,18685631,17.1
2025,8,2025-08-01,Senegal,SN,Free Sénégal,2,35.1,1121530,17739,39393,-21654,3.522,3.69,4.14,5.76,73.0,76.0,18685631,17.1
2025,8,2025-08-01,Senegal,SN,Expresso,3,8.4,268400,4108,10994,-6886,4.097,3.06,0.821,5.06,73.0,76.0,18685631,17.1
2025,9,2025-09-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,26635,39188,-12553,2.171,5.48,9.884,5.21,73.0,76.0,18685631,17.1
2025,9,2025-09-01,Senegal,SN,Free Sénégal,2,35.1,1121530,16694,39407,-22713,3.462,3.53,3.963,5.69,73.0,76.0,18685631,17.1
2025,9,2025-09-01,Senegal,SN,Expresso,3,8.4,268400,3775,11089,-7314,4.146,2.97,0.798,5.02,73.0,76.0,18685631,17.1
2025,10,2025-10-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,25653,39806,-14153,2.167,5.49,9.903,6.06,73.0,76.0,18685631,17.1
2025,10,2025-10-01,Senegal,SN,Free Sénégal,2,35.1,1121530,15928,38857,-22929,3.483,3.63,4.074,5.35,73.0,76.0,18685631,17.1
2025,10,2025-10-01,Senegal,SN,Expresso,3,8.4,268400,3917,11027,-7110,4.124,2.96,0.795,5.83,73.0,76.0,18685631,17.1
2025,11,2025-11-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,27050,38860,-11810,2.176,5.38,9.709,6.18,73.0,76.0,18685631,17.1
2025,11,2025-11-01,Senegal,SN,Free Sénégal,2,35.1,1121530,16399,38178,-21779,3.447,3.6,4.039,5.94,73.0,76.0,18685631,17.1
2025,11,2025-11-01,Senegal,SN,Expresso,3,8.4,268400,4008,10856,-6848,4.074,2.83,0.758,5.53,73.0,76.0,18685631,17.1
2025,12,2025-12-01,Senegal,SN,Orange Sénégal,1,56.5,1805312,24997,40363,-15366,2.197,5.13,9.268,6.83,73.0,76.0,18685631,17.1
2025,12,2025-12-01,Senegal,SN,Free Sénégal,2,35.1,1121530,16103,38652,-22549,3.465,3.55,3.986,6.29,73.0,76.0,18685631,17.1
2025,12,2025-12-01,Senegal,SN,Expresso,3,8.4,268400,3878,11128,-7250,4.14,2.85,0.766,6.28,73.0,76.0,18685631,17.1
2026,1,2026-01-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,27976,42562,-14586,2.119,5.53,11.259,3.43,78.0,79.0,19208829,18.6
2026,1,2026-01-01,Senegal,SN,Free Sénégal,2,34.8,1243349,18014,41645,-23631,3.338,3.62,4.496,3.27,78.0,79.0,19208829,18.6
2026,1,2026-01-01,Senegal,SN,Expresso,3,8.2,292973,4117,11671,-7554,3.968,2.89,0.846,3.57,78.0,79.0,19208829,18.6
2026,2,2026-02-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,30166,43639,-13473,2.122,5.69,11.587,3.89,78.0,79.0,19208829,18.6
2026,2,2026-02-01,Senegal,SN,Free Sénégal,2,34.8,1243349,17575,40557,-22982,3.282,3.7,4.603,3.8,78.0,79.0,19208829,18.6
2026,2,2026-02-01,Senegal,SN,Expresso,3,8.2,292973,4330,11430,-7100,3.931,2.98,0.873,3.44,78.0,79.0,19208829,18.6
2026,3,2026-03-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,29309,42198,-12889,2.093,5.75,11.717,3.81,78.0,79.0,19208829,18.6
2026,3,2026-03-01,Senegal,SN,Free Sénégal,2,34.8,1243349,18926,42750,-23824,3.432,3.73,4.634,4.14,78.0,79.0,19208829,18.6
2026,3,2026-03-01,Senegal,SN,Expresso,3,8.2,292973,4410,11830,-7420,3.937,3.06,0.898,4.23,78.0,79.0,19208829,18.6
2026,4,2026-04-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,31126,43465,-12339,2.097,5.72,11.655,4.69,78.0,79.0,19208829,18.6
2026,4,2026-04-01,Senegal,SN,Free Sénégal,2,34.8,1243349,18702,42136,-23434,3.368,3.91,4.859,4.43,78.0,79.0,19208829,18.6
2026,4,2026-04-01,Senegal,SN,Expresso,3,8.2,292973,4384,11391,-7007,3.898,3.13,0.916,4.43,78.0,79.0,19208829,18.6
2026,5,2026-05-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,30339,43251,-12912,2.116,5.91,12.044,4.73,78.0,79.0,19208829,18.6
2026,5,2026-05-01,Senegal,SN,Free Sénégal,2,34.8,1243349,19779,42219,-22440,3.38,3.9,4.852,4.22,78.0,79.0,19208829,18.6
2026,5,2026-05-01,Senegal,SN,Expresso,3,8.2,292973,4575,11683,-7108,3.977,3.11,0.912,4.35,78.0,79.0,19208829,18.6
2026,6,2026-06-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,31732,43760,-12028,2.134,5.89,12.001,4.91,78.0,79.0,19208829,18.6
2026,6,2026-06-01,Senegal,SN,Free Sénégal,2,34.8,1243349,19095,42008,-22913,3.375,3.9,4.849,4.79,78.0,79.0,19208829,18.6
2026,6,2026-06-01,Senegal,SN,Expresso,3,8.2,292973,4600,11510,-6910,3.948,3.25,0.952,4.68,78.0,79.0,19208829,18.6
2026,7,2026-07-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,31189,43552,-12363,2.108,5.88,11.97,5.47,78.0,79.0,19208829,18.6
2026,7,2026-07-01,Senegal,SN,Free Sénégal,2,34.8,1243349,19450,41324,-21874,3.294,3.91,4.864,5.48,78.0,79.0,19208829,18.6
2026,7,2026-07-01,Senegal,SN,Expresso,3,8.2,292973,4739,11807,-7068,3.94,3.16,0.925,5.08,78.0,79.0,19208829,18.6
2026,8,2026-08-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,32635,43408,-10773,2.143,5.74,11.691,5.42,78.0,79.0,19208829,18.6
2026,8,2026-08-01,Senegal,SN,Free Sénégal,2,34.8,1243349,18498,40606,-22108,3.299,3.81,4.734,5.49,78.0,79.0,19208829,18.6
2026,8,2026-08-01,Senegal,SN,Expresso,3,8.2,292973,4690,11512,-6822,3.969,3.18,0.93,5.44,78.0,79.0,19208829,18.6
2026,9,2026-09-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,31166,42507,-11341,2.111,5.7,11.601,5.85,78.0,79.0,19208829,18.6
2026,9,2026-09-01,Senegal,SN,Free Sénégal,2,34.8,1243349,18812,42808,-23996,3.36,3.74,4.65,5.65,78.0,79.0,19208829,18.6
2026,9,2026-09-01,Senegal,SN,Expresso,3,8.2,292973,4321,11455,-7134,3.935,3.12,0.915,6.21,78.0,79.0,19208829,18.6
2026,10,2026-10-01,Senegal,SN,Orange Sénégal,1,57.0,2036520,29189,42967,-13778,2.1,5.5,11.211,6.29,78.0,79.0,19208829,18.6
2026,10,2026-10-01,Senegal,SN,Free Sénégal,2,34.8,1243349,17446,42306,-24860,3.351,3.8,4.725,5.91,78.0,79.0,19208829,18.6
2026,10,2026-10-01,Senegal,SN,Expresso,3,8.2,292973,4343,11595,-7252,3.945,3.04,0.89,6.71,78.0,79.0,19208829,18.6
