year,country,country_code,region,latitude,longitude,coverage_4g_pct,coverage_2g_pct
2022,Mali,ML,Bamako,12.6392,-8.0029,88.0,98.0
2023,Mali,ML,Bamako,12.6392,-8.0029,95.0,99.0
2024,Mali,ML,Bamako,12.6392,-8.0029,96.4,100.0
2025,Mali,ML,Bamako,12.6392,-8.0029,94.3,100.0
2026,Mali,ML,Bamako,12.6392,-8.0029,92.9,100.0
2022,Mali,ML,Sikasso,11.3178,-5.666,58.0,85.0
2023,Mali,ML,Sikasso,11.3178,-5.666,65.0,86.0
2024,Mali,ML,Sikasso,11.3178,-5.666,66.4,87.0
2025,Mali,ML,Sikasso,11.3178,-5.666,64.3,88.0
2026,Mali,ML,Sikasso,11.3178,-5.666,62.9,89.0
2022,Mali,ML,Ségou,13.45,-6.2667,52.0,82.0
2023,Mali,ML,Ségou,13.45,-6.2667,59.0,83.0
2024,Mali,ML,Ségou,13.45,-6.2667,60.4,84.0
2025,Mali,ML,Ségou,13.45,-6.2667,58.3,85.0
2026,Mali,ML,Ségou,13.45,-6.2667,56.9,86.0
2022,Mali,ML,Mopti,14.4814,-4.1917,42.0,75.0
2023,Mali,ML,Mopti,14.4814,-4.1917,49.0,76.0
2024,Mali,ML,Mopti,14.4814,-4.1917,50.4,77.0
2025,Mali,ML,Mopti,14.4814,-4.1917,48.3,78.0
2026,Mali,ML,Mopti,14.4814,-4.1917,46.9,79.0
2022,Mali,ML,Tombouctou,16.7735,-3.0074,18.0,55.0
2023,Mali,ML,Tombouctou,16.7735,-3.0074,25.0,56.0
2024,Mali,ML,Tombouctou,16.7735,-3.0074,26.4,57.0
2025,Mali,ML,Tombouctou,16.7735,-3.0074,24.3,58.0
2026,Mali,ML,Tombouctou,16.7735,-3.0074,22.9,59.0
2022,Mali,ML,Gao,16.2726,-0.0423,15.0,50.0
2023,Mali,ML,Gao,16.2726,-0.0423,22.0,51.0
2024,Mali,ML,Gao,16.2726,-0.0423,23.4,52.0
2025,Mali,ML,Gao,16.2726,-0.0423,21.3,53.0
2026,Mali,ML,Gao,16.2726,-0.0423,19.9,54.0
2022,Mali,ML,Kayes,14.4417,-11.4386,48.0,80.0
2023,Mali,ML,Kayes,14.4417,-11.4386,55.0,81.0
2024,Mali,ML,Kayes,14.4417,-11.4386,56.4,82.0
2025,Mali,ML,Kayes,14.4417,-11.4386,54.3,83.0
2026,Mali,ML,Kayes,14.4417,-11.4386,52.9,84.0
2022,Mali,ML,Koulikoro,12.8619,-7.5569,55.0,84.0
2023,Mali,ML,Koulikoro,12.8619,-7.5569,62.0,85.0
2024,Mali,ML,Koulikoro,12.8619,-7.5569,63.4,86.0
2025,Mali,ML,Koulikoro,12.8619,-7.5569,61.3,87.0
2026,Mali,ML,Koulikoro,12.8619,-7.5569,59.9,88.0
